year,country,life_expectancy,gdp_per_capita,population,number_of_child_deaths,income_per_person,continent
1960,Afghanistan,NA,NA,NA,NA,NA,NA
1960,Albania,NA,NA,NA,NA,NA,NA
1960,Algeria,52.01,2466.03824,11124888,125500,6517,Africa
1960,Andorra,NA,NA,NA,NA,NA,NA
1960,Angola,NA,NA,NA,NA,NA,NA
1960,Antigua & Barbuda,NA,NA,NA,NA,NA,NA
1960,Argentina,64.06,5605.19172,20619075,35740,9025,Americas
1960,Armenia,NA,NA,NA,NA,NA,NA
1960,Aruba,NA,NA,NA,NA,NA,NA
1960,Australia,71.25,19387.31876,10289707,5775,14339,Oceania
1960,Austria,68.72,13031.03159,7070766,5754,12073,Europe
1960,Azerbaijan,NA,NA,NA,NA,NA,NA
1960,Bahamas,61.92,17735.53884,109528,307,14827,Americas
1960,Bahrain,NA,NA,NA,NA,NA,NA
1960,Bangladesh,43.83,370.59417,48199747,586300,1055,Asia
1960,Barbados,NA,NA,NA,NA,NA,NA
1960,Belarus,NA,NA,NA,NA,NA,NA
1960,Belgium,69.63,13193.31494,9167365,5614,12585,Europe
1960,Belize,60.72,1072.46634,92064,480,2006,Americas
1960,Benin,41.09,520.40418,2431622,31350,1186,Africa
1960,Bhutan,NA,NA,NA,NA,NA,NA
1960,Bolivia,46.37,1304.69876,3693449,44510,2690,Americas
1960,Bosnia & Herzegovina,NA,NA,NA,NA,NA,NA
1960,Botswana,52.12,390.82973,524552,3811,972,Africa
1960,Brazil,56.84,3425.42997,72207554,517400,4436,Americas
1960,Brunei,NA,NA,NA,NA,NA,NA
1960,Bulgaria,NA,NA,NA,NA,NA,NA
1960,Burkina Faso,38.62,238.85456,4829288,73170,659,Africa
1960,Burundi,42.02,214.13695,2786106,32880,645,Africa
1960,Cambodia,NA,NA,NA,NA,NA,NA
1960,Cameroon,46.1,956.45604,5176268,61640,1846,Africa
1960,Canada,71.13,17664.2048,17917236,15300,14450,Americas
1960,Cape Verde,NA,NA,NA,NA,NA,NA
1960,Central African Republic,41.43,601.85281,1503508,17300,1426,Africa
1960,Chad,44.52,696.27693,3001593,38410,1474,Africa
1960,Chile,58.2,3806.80573,7716625,42980,5943,Americas
1960,China,30.9,191.79118,657686143,7535000,891,Asia
1960,Colombia,61,2213.22287,16480383,88560,3479,Americas
1960,Comoros,NA,NA,NA,NA,NA,NA
1960,Congo - Brazzaville,44.88,1429.99798,1037220,7431,2167,Africa
1960,Congo - Kinshasa,46.5,1038.93255,15248251,189600,2235,Africa
1960,Costa Rica,63.38,2856.53118,1333040,6357,4258,Americas
1960,Côte d’Ivoire,42.43,1205.26063,3558988,53410,2492,Africa
1960,Croatia,NA,NA,NA,NA,NA,NA
1960,Cuba,NA,NA,NA,NA,NA,NA
1960,Cyprus,NA,NA,NA,NA,NA,NA
1960,Czechia,NA,NA,NA,NA,NA,NA
1960,Denmark,72.18,21075.59952,4581101,1995,15336,Europe
1960,Djibouti,NA,NA,NA,NA,NA,NA
1960,Dominica,NA,NA,NA,NA,NA,NA
1960,Dominican Republic,56.95,1326.90528,3294042,23220,2651,Americas
1960,Ecuador,57.55,2244.44638,4545550,33700,4450,Americas
1960,Egypt,47.53,631.12839,26996533,402100,2030,Africa
1960,El Salvador,NA,NA,NA,NA,NA,NA
1960,Equatorial Guinea,NA,NA,NA,NA,NA,NA
1960,Eritrea,NA,NA,NA,NA,NA,NA
1960,Estonia,NA,NA,NA,NA,NA,NA
1960,Eswatini,NA,NA,NA,NA,NA,NA
1960,Ethiopia,NA,NA,NA,NA,NA,NA
1960,Fiji,59.75,1774.20574,393386,1263,3575,Oceania
1960,Finland,68.73,12195.32806,4434590,2363,10624,Europe
1960,France,70.67,12991.26772,45865396,24340,11653,Europe
1960,Gabon,43.7,4377.43888,499184,4466,1439,Africa
1960,Gambia,NA,NA,NA,NA,NA,NA
1960,Georgia,NA,NA,NA,NA,NA,NA
1960,Germany,NA,NA,NA,NA,NA,NA
1960,Ghana,50.76,1053.28025,6652287,61970,2246,Africa
1960,Greece,70.44,6779.88678,8271788,9439,6150,Europe
1960,Grenada,NA,NA,NA,NA,NA,NA
1960,Guatemala,44.56,1461.76339,4210747,40280,3301,Americas
1960,Guinea,NA,NA,NA,NA,NA,NA
1960,Guinea-Bissau,NA,NA,NA,NA,NA,NA
1960,Guyana,59.4,1679.52516,571819,1910,3104,Americas
1960,Haiti,NA,NA,NA,NA,NA,NA
1960,Honduras,50.1,1095.99041,2038637,20100,2511,Americas
1960,Hong Kong SAR China,NA,NA,NA,NA,NA,NA
1960,Hungary,NA,NA,NA,NA,NA,NA
1960,Iceland,NA,NA,NA,NA,NA,NA
1960,India,41.51,304.23189,449480608,4340000,1041,Asia
1960,Indonesia,45.86,690.04285,87792515,837100,1754,Asia
1960,Iran,48.69,2980.5765,21906903,314700,5424,Asia
1960,Iraq,NA,NA,NA,NA,NA,NA
1960,Ireland,NA,NA,NA,NA,NA,NA
1960,Israel,67.32,8749.05784,2089889,2209,6999,Asia
1960,Italy,69.11,10867.70366,49742196,47390,10352,Europe
1960,Jamaica,NA,NA,NA,NA,NA,NA
1960,Japan,67.98,8607.65708,93673615,63790,4838,Asia
1960,Jordan,NA,NA,NA,NA,NA,NA
1960,Kazakhstan,NA,NA,NA,NA,NA,NA
1960,Kenya,50.91,538.43177,8105440,76300,1889,Africa
1960,Kiribati,NA,NA,NA,NA,NA,NA
1960,Kuwait,NA,NA,NA,NA,NA,NA
1960,Kyrgyzstan,NA,NA,NA,NA,NA,NA
1960,Laos,NA,NA,NA,NA,NA,NA
1960,Latvia,NA,NA,NA,NA,NA,NA
